Date : 2025-06-03 20:25:28
Directory : c:\Users\Aqua\Programming\Quantum
Total : 358 files,  188851 codes, 38731 comments, 43907 blanks, all 271489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Nim      |        199 |     99,289 |     21,171 |     24,674 |    145,134 |
| Crystal  |         75 |     53,919 |     12,150 |     11,681 |     77,750 |
| Zig      |         69 |     33,070 |      5,390 |      6,887 |     45,347 |
| Markdown |         10 |      2,402 |          0 |        629 |      3,031 |
| Nimble   |          2 |        122 |         17 |         24 |        163 |
| YAML     |          2 |         42 |          3 |         12 |         57 |
| JSON     |          1 |          7 |          0 |          0 |          7 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        358 |    188,851 |     38,731 |     43,907 |    271,489 |
| . (Files)                                                                                                       |          2 |        103 |          3 |         33 |        139 |
| .cursor                                                                                                         |          1 |          7 |          0 |          0 |          7 |
| docs                                                                                                            |          2 |        316 |          0 |        114 |        430 |
| docs\ja                                                                                                         |          2 |        316 |          0 |        114 |        430 |
| rules                                                                                                           |          3 |      1,375 |          0 |        266 |      1,641 |
| spec                                                                                                            |          3 |         49 |          5 |          8 |         62 |
| src                                                                                                             |        347 |    187,001 |     38,723 |     43,486 |    269,210 |
| src\crystal                                                                                                     |         73 |     53,891 |     12,145 |     11,679 |     77,715 |
| src\crystal (Files)                                                                                             |          2 |        115 |         41 |         26 |        182 |
| src\crystal\bindings                                                                                            |          2 |        530 |        111 |        149 |        790 |
| src\crystal\bindings\nim                                                                                        |          1 |        398 |         74 |        105 |        577 |
| src\crystal\bindings\zig                                                                                        |          1 |        132 |         37 |         44 |        213 |
| src\crystal\browser                                                                                             |         21 |     21,021 |      5,040 |      4,860 |     30,921 |
| src\crystal\browser (Files)                                                                                     |          6 |     12,085 |      2,767 |      2,890 |     17,742 |
| src\crystal\browser\app                                                                                         |          2 |        808 |        590 |        161 |      1,559 |
| src\crystal\browser\config                                                                                      |          1 |        242 |         20 |         40 |        302 |
| src\crystal\browser\dom                                                                                         |          2 |      1,042 |        229 |        238 |      1,509 |
| src\crystal\browser\network                                                                                     |         10 |      6,844 |      1,434 |      1,531 |      9,809 |
| src\crystal\events                                                                                              |          2 |        895 |        324 |        220 |      1,439 |
| src\crystal\quantum_core                                                                                        |         15 |     11,992 |      3,022 |      2,271 |     17,285 |
| src\crystal\quantum_core (Files)                                                                                |          8 |      6,804 |      2,267 |      1,378 |     10,449 |
| src\crystal\quantum_core\css                                                                                    |          4 |        532 |         91 |         69 |        692 |
| src\crystal\quantum_core\dom                                                                                    |          2 |      4,066 |        585 |        747 |      5,398 |
| src\crystal\quantum_core\storage                                                                                |          1 |        590 |         79 |         77 |        746 |
| src\crystal\quantum_storage                                                                                     |          1 |        740 |        146 |        191 |      1,077 |
| src\crystal\quantum_storage\cache                                                                               |          1 |        740 |        146 |        191 |      1,077 |
| src\crystal\quantum_ui                                                                                          |          4 |      1,612 |        285 |        289 |      2,186 |
| src\crystal\storage                                                                                             |          6 |      3,115 |        597 |        735 |      4,447 |
| src\crystal\storage (Files)                                                                                     |          1 |        258 |         60 |         62 |        380 |
| src\crystal\storage\bookmarks                                                                                   |          1 |        676 |         88 |        148 |        912 |
| src\crystal\storage\history                                                                                     |          1 |        598 |         67 |        104 |        769 |
| src\crystal\storage\passwords                                                                                   |          1 |        661 |        178 |        190 |      1,029 |
| src\crystal\storage\preferences                                                                                 |          1 |        318 |         65 |         74 |        457 |
| src\crystal\storage\sync                                                                                        |          1 |        604 |        139 |        157 |        900 |
| src\crystal\ui                                                                                                  |         19 |     13,832 |      2,573 |      2,932 |     19,337 |
| src\crystal\ui (Files)                                                                                          |          4 |      2,164 |        461 |        485 |      3,110 |
| src\crystal\ui\components                                                                                       |         10 |     10,099 |      1,906 |      2,111 |     14,116 |
| src\crystal\ui\screens                                                                                          |          5 |      1,569 |        206 |        336 |      2,111 |
| src\crystal\ui\screens\bookmarks                                                                                |          1 |        503 |         54 |         99 |        656 |
| src\crystal\ui\screens\history                                                                                  |          1 |        294 |         43 |         66 |        403 |
| src\crystal\ui\screens\settings                                                                                 |          3 |        772 |        109 |        171 |      1,052 |
| src\crystal\ui\screens\settings (Files)                                                                         |          1 |        228 |         38 |         53 |        319 |
| src\crystal\ui\screens\settings\settings_panels                                                                 |          2 |        544 |         71 |        118 |        733 |
| src\crystal\utils                                                                                               |          1 |         39 |          6 |          6 |         51 |
| src\nim                                                                                                         |        205 |    100,040 |     21,188 |     24,920 |    146,148 |
| src\nim (Files)                                                                                                 |          2 |        122 |         17 |         24 |        163 |
| src\nim\bindings                                                                                                |          6 |      1,736 |        876 |        611 |      3,223 |
| src\nim\bindings (Files)                                                                                        |          1 |         40 |         33 |         20 |         93 |
| src\nim\bindings\crystal                                                                                        |          3 |      1,019 |        491 |        315 |      1,825 |
| src\nim\bindings\zig                                                                                            |          2 |        677 |        352 |        276 |      1,305 |
| src\nim\compression                                                                                             |         20 |      8,573 |      2,153 |      2,281 |     13,007 |
| src\nim\compression (Files)                                                                                     |          6 |      1,679 |        497 |        466 |      2,642 |
| src\nim\compression\advanced                                                                                    |          1 |        343 |         84 |         78 |        505 |
| src\nim\compression\async                                                                                       |          1 |      1,014 |        200 |        266 |      1,480 |
| src\nim\compression\brotli                                                                                      |          2 |        433 |        116 |        138 |        687 |
| src\nim\compression\cache                                                                                       |          1 |        533 |        105 |        130 |        768 |
| src\nim\compression\common                                                                                      |          2 |        798 |        213 |        156 |      1,167 |
| src\nim\compression\formats                                                                                     |          3 |      2,856 |        665 |        739 |      4,260 |
| src\nim\compression\gzip                                                                                        |          2 |        499 |        149 |        163 |        811 |
| src\nim\compression\zstd                                                                                        |          2 |        418 |        124 |        145 |        687 |
| src\nim\cookies                                                                                                 |         13 |      4,125 |        868 |      1,005 |      5,998 |
| src\nim\cookies (Files)                                                                                         |          5 |      1,485 |        246 |        307 |      2,038 |
| src\nim\cookies\extensions                                                                                      |          3 |      1,203 |        280 |        311 |      1,794 |
| src\nim\cookies\policy                                                                                          |          2 |        494 |         93 |        116 |        703 |
| src\nim\cookies\security                                                                                        |          2 |        527 |        154 |        170 |        851 |
| src\nim\cookies\store                                                                                           |          1 |        416 |         95 |        101 |        612 |
| src\nim\network                                                                                                 |         83 |     34,661 |      6,913 |      8,232 |     49,806 |
| src\nim\network (Files)                                                                                         |          1 |         57 |          8 |         15 |         80 |
| src\nim\network\cache                                                                                           |         11 |      3,177 |        674 |        786 |      4,637 |
| src\nim\network\cache (Files)                                                                                   |          4 |      1,160 |        255 |        296 |      1,711 |
| src\nim\network\cache\compression                                                                               |          1 |        256 |         55 |         55 |        366 |
| src\nim\network\cache\disk                                                                                      |          1 |        500 |        106 |        144 |        750 |
| src\nim\network\cache\memory                                                                                    |          1 |        457 |         92 |        111 |        660 |
| src\nim\network\cache\policy                                                                                    |          1 |        394 |        106 |         88 |        588 |
| src\nim\network\cache\tests                                                                                     |          3 |        410 |         60 |         92 |        562 |
| src\nim\network\dns                                                                                             |         22 |      7,880 |      1,631 |      1,974 |     11,485 |
| src\nim\network\dns (Files)                                                                                     |          7 |      2,116 |        413 |        517 |      3,046 |
| src\nim\network\dns\cache                                                                                       |          4 |        770 |        149 |        173 |      1,092 |
| src\nim\network\dns\resolver                                                                                    |          3 |      1,165 |        239 |        272 |      1,676 |
| src\nim\network\dns\secure                                                                                      |          3 |      3,575 |        795 |        950 |      5,320 |
| src\nim\network\dns\tests                                                                                       |          5 |        254 |         35 |         62 |        351 |
| src\nim\network\http                                                                                            |         16 |      9,796 |      1,539 |      2,052 |     13,387 |
| src\nim\network\http (Files)                                                                                    |          3 |      5,116 |        881 |      1,196 |      7,193 |
| src\nim\network\http\client                                                                                     |          2 |        898 |        166 |        219 |      1,283 |
| src\nim\network\http\headers                                                                                    |          4 |      2,248 |        255 |        428 |      2,931 |
| src\nim\network\http\methods                                                                                    |          4 |        950 |        121 |        102 |      1,173 |
| src\nim\network\http\versions                                                                                   |          3 |        584 |        116 |        107 |        807 |
| src\nim\network\optimization                                                                                    |          5 |      2,855 |        535 |        663 |      4,053 |
| src\nim\network\optimization (Files)                                                                            |          2 |      1,466 |        283 |        358 |      2,107 |
| src\nim\network\optimization\preconnect                                                                         |          1 |        463 |         95 |        111 |        669 |
| src\nim\network\optimization\prefetch                                                                           |          1 |        492 |         79 |        100 |        671 |
| src\nim\network\optimization\prioritization                                                                     |          1 |        434 |         78 |         94 |        606 |
| src\nim\network\protocols                                                                                       |         10 |      2,703 |        795 |        725 |      4,223 |
| src\nim\network\protocols (Files)                                                                               |          1 |        194 |          0 |         69 |        263 |
| src\nim\network\protocols\ftp                                                                                   |          2 |        924 |        315 |        249 |      1,488 |
| src\nim\network\protocols\sse                                                                                   |          2 |        290 |         96 |         69 |        455 |
| src\nim\network\protocols\webrtc                                                                                |          2 |        662 |        231 |        178 |      1,071 |
| src\nim\network\protocols\websocket                                                                             |          3 |        633 |        153 |        160 |        946 |
| src\nim\network\proxy                                                                                           |         10 |      4,188 |        979 |      1,008 |      6,175 |
| src\nim\network\proxy (Files)                                                                                   |          1 |        378 |        127 |         98 |        603 |
| src\nim\network\proxy\auto_config                                                                               |          2 |      1,117 |        253 |        274 |      1,644 |
| src\nim\network\proxy\cache                                                                                     |          1 |        464 |         44 |         94 |        602 |
| src\nim\network\proxy\http                                                                                      |          2 |        736 |        258 |        198 |      1,192 |
| src\nim\network\proxy\lb                                                                                        |          1 |        423 |         77 |         86 |        586 |
| src\nim\network\proxy\monitor                                                                                   |          1 |        580 |         70 |        142 |        792 |
| src\nim\network\proxy\socks                                                                                     |          2 |        490 |        150 |        116 |        756 |
| src\nim\network\security                                                                                        |          8 |      4,005 |        752 |      1,009 |      5,766 |
| src\nim\network\security (Files)                                                                                |          1 |        332 |         72 |        103 |        507 |
| src\nim\network\security\certificates                                                                           |          2 |      1,629 |        340 |        429 |      2,398 |
| src\nim\network\security\csp                                                                                    |          1 |        399 |         79 |         93 |        571 |
| src\nim\network\security\dns                                                                                    |          1 |        632 |         74 |        143 |        849 |
| src\nim\network\security\hsts                                                                                   |          1 |        513 |        106 |        144 |        763 |
| src\nim\network\security\mixed_content                                                                          |          1 |        239 |         45 |         54 |        338 |
| src\nim\network\security\tls                                                                                    |          1 |        261 |         36 |         43 |        340 |
| src\nim\privacy                                                                                                 |          8 |      4,478 |        740 |        864 |      6,082 |
| src\nim\privacy (Files)                                                                                         |          1 |        271 |         32 |         26 |        329 |
| src\nim\privacy\blockers                                                                                        |          1 |      1,029 |        185 |        224 |      1,438 |
| src\nim\privacy\fingerprinting                                                                                  |          5 |      2,809 |        428 |        526 |      3,763 |
| src\nim\privacy\sanitization                                                                                    |          1 |        369 |         95 |         88 |        552 |
| src\nim\quantum_arch                                                                                            |          7 |      4,051 |        881 |      1,071 |      6,003 |
| src\nim\quantum_arch\data                                                                                       |          1 |        362 |         81 |        108 |        551 |
| src\nim\quantum_arch\ipc                                                                                        |          2 |      1,808 |        357 |        453 |      2,618 |
| src\nim\quantum_arch\memory                                                                                     |          1 |        326 |         87 |        116 |        529 |
| src\nim\quantum_arch\process                                                                                    |          1 |        580 |        114 |        142 |        836 |
| src\nim\quantum_arch\threading                                                                                  |          2 |        975 |        242 |        252 |      1,469 |
| src\nim\quantum_net                                                                                             |         42 |     28,712 |      6,264 |      7,503 |     42,479 |
| src\nim\quantum_net (Files)                                                                                     |          2 |        835 |        117 |        160 |      1,112 |
| src\nim\quantum_net\cache                                                                                       |          4 |      2,369 |        504 |        617 |      3,490 |
| src\nim\quantum_net\dns                                                                                         |          4 |      2,673 |        527 |        709 |      3,909 |
| src\nim\quantum_net\dns (Files)                                                                                 |          1 |      1,518 |        280 |        408 |      2,206 |
| src\nim\quantum_net\dns\cache.nim                                                                               |          3 |      1,155 |        247 |        301 |      1,703 |
| src\nim\quantum_net\http                                                                                        |          4 |      3,153 |        614 |        845 |      4,612 |
| src\nim\quantum_net\http (Files)                                                                                |          1 |        525 |         88 |        148 |        761 |
| src\nim\quantum_net\http\client.nim                                                                             |          1 |      1,418 |        316 |        421 |      2,155 |
| src\nim\quantum_net\http\http1.nim                                                                              |          1 |        452 |         67 |        137 |        656 |
| src\nim\quantum_net\http\http2.nim                                                                              |          1 |        758 |        143 |        139 |      1,040 |
| src\nim\quantum_net\protocols                                                                                   |         26 |     16,805 |      3,944 |      4,328 |     25,077 |
| src\nim\quantum_net\protocols (Files)                                                                           |          4 |      1,464 |        302 |        302 |      2,068 |
| src\nim\quantum_net\protocols\http3                                                                             |         13 |      9,070 |      1,972 |      2,197 |     13,239 |
| src\nim\quantum_net\protocols\quic                                                                              |          9 |      6,271 |      1,670 |      1,829 |      9,770 |
| src\nim\quantum_net\security                                                                                    |          1 |      2,408 |        467 |        739 |      3,614 |
| src\nim\quantum_net\security\tls                                                                                |          1 |      2,408 |        467 |        739 |      3,614 |
| src\nim\quantum_net\websocket                                                                                   |          1 |        469 |         91 |        105 |        665 |
| src\nim\quantum_shield                                                                                          |         12 |      6,263 |      1,054 |      1,428 |      8,745 |
| src\nim\quantum_shield (Files)                                                                                  |          1 |        741 |        205 |        192 |      1,138 |
| src\nim\quantum_shield\certificates                                                                             |          2 |        916 |        100 |        234 |      1,250 |
| src\nim\quantum_shield\certificates\store.nim                                                                   |          1 |        406 |         41 |        110 |        557 |
| src\nim\quantum_shield\certificates\validator.nim                                                               |          1 |        510 |         59 |        124 |        693 |
| src\nim\quantum_shield\content_security                                                                         |          2 |        671 |        110 |        148 |        929 |
| src\nim\quantum_shield\content_security (Files)                                                                 |          1 |        223 |          3 |         43 |        269 |
| src\nim\quantum_shield\content_security\xss_protection.nim                                                      |          1 |        448 |        107 |        105 |        660 |
| src\nim\quantum_shield\privacy                                                                                  |          2 |      2,206 |        417 |        476 |      3,099 |
| src\nim\quantum_shield\privacy\fingerprint.nim                                                                  |          1 |        666 |         71 |        112 |        849 |
| src\nim\quantum_shield\privacy\tracker_blocker.nim                                                              |          1 |      1,540 |        346 |        364 |      2,250 |
| src\nim\quantum_shield\sandbox                                                                                  |          2 |        486 |         26 |         80 |        592 |
| src\nim\quantum_shield\webrtc                                                                                   |          3 |      1,243 |        196 |        298 |      1,737 |
| src\nim\quantum_storage                                                                                         |         12 |      7,319 |      1,422 |      1,901 |     10,642 |
| src\nim\quantum_storage (Files)                                                                                 |          1 |        139 |         25 |         42 |        206 |
| src\nim\quantum_storage\bookmarks                                                                               |          3 |      2,442 |        469 |        642 |      3,553 |
| src\nim\quantum_storage\bookmarks\manager.nim                                                                   |          1 |        970 |        209 |        294 |      1,473 |
| src\nim\quantum_storage\bookmarks\sync.nim                                                                      |          2 |      1,472 |        260 |        348 |      2,080 |
| src\nim\quantum_storage\cache                                                                                   |          2 |      1,325 |        284 |        330 |      1,939 |
| src\nim\quantum_storage\cache\manager.nim                                                                       |          1 |        795 |        175 |        201 |      1,171 |
| src\nim\quantum_storage\cache\storage.nim                                                                       |          1 |        530 |        109 |        129 |        768 |
| src\nim\quantum_storage\cookies                                                                                 |          2 |      1,036 |        195 |        258 |      1,489 |
| src\nim\quantum_storage\cookies\policy.nim                                                                      |          1 |        513 |         87 |        116 |        716 |
| src\nim\quantum_storage\cookies\store.nim                                                                       |          1 |        523 |        108 |        142 |        773 |
| src\nim\quantum_storage\history                                                                                 |          2 |      1,057 |        190 |        291 |      1,538 |
| src\nim\quantum_storage\history\store.nim                                                                       |          1 |        589 |        110 |        163 |        862 |
| src\nim\quantum_storage\history\timeline.nim                                                                    |          1 |        468 |         80 |        128 |        676 |
| src\nim\quantum_storage\preferences                                                                             |          2 |      1,320 |        259 |        338 |      1,917 |
| src\nim\quantum_storage\preferences\settings.nim                                                                |          1 |        929 |        178 |        238 |      1,345 |
| src\nim\quantum_storage\preferences\sync.nim                                                                    |          1 |        391 |         81 |        100 |        572 |
| src\zig                                                                                                         |         69 |     33,070 |      5,390 |      6,887 |     45,347 |
| src\zig (Files)                                                                                                 |          1 |        199 |         40 |         51 |        290 |
| src\zig\.zig-cache                                                                                              |          2 |          4 |          0 |          2 |          6 |
| src\zig\.zig-cache\o                                                                                            |          2 |          4 |          0 |          2 |          6 |
| src\zig\.zig-cache\o\35ec329f0404fa5defcda012dc95b17a                                                           |          1 |          2 |          0 |          1 |          3 |
| src\zig\.zig-cache\o\ebd7ddab8ffe003267120d598aecce68                                                           |          1 |          2 |          0 |          1 |          3 |
| src\zig\bindings                                                                                                |          1 |        427 |        102 |        109 |        638 |
| src\zig\browser                                                                                                 |          1 |        512 |         73 |        118 |        703 |
| src\zig\dom                                                                                                     |         29 |      7,943 |      1,875 |      1,625 |     11,443 |
| src\zig\dom (Files)                                                                                             |         11 |      4,685 |      1,207 |        984 |      6,876 |
